日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/05/20,45667137,4830640300,105.0,106.5,104.5,106.0,1.0,17658
110/05/21,54294943,5915349127,108.0,110.0,108.0,109.5,3.5,24601
110/05/24,31185744,3397485475,108.5,110.0,108.0,109.5,0.0,15620
110/05/25,51415212,5763067348,111.0,113.0,110.5,112.0,2.5,24932
110/05/26,24843379,2770423040,113.5,113.5,110.5,111.5,-0.5,13505
110/05/27,61345941,6696631324,110.0,110.5,107.5,109.5,-2.0,18480
110/05/28,26999728,2990527150,110.5,111.5,110.0,111.0,1.5,12829
110/05/31,34363475,3879023225,112.0,113.5,111.5,113.5,2.5,18834
110/06/01,22421329,2559926686,114.5,115.0,113.5,114.5,1.0,14042
110/06/02,33224565,3741059700,115.0,115.5,111.0,112.0,-2.5,21467
110/06/03,24092372,2687851339,113.0,113.0,110.5,111.0,-1.0,12120
110/06/04,30062210,3321498146,110.0,112.5,109.0,112.0,1.0,16040
110/06/07,20456903,2266693907,112.5,112.5,109.0,110.5,-1.5,12472
110/06/08,18593259,2057056822,111.0,111.5,110.0,110.5,0.0,9979
110/06/09,23900252,2629388923,110.0,111.0,109.5,109.5,-1.0,12614
110/06/10,19385582,2147142899,110.0,111.5,109.5,110.5,1.0,8737
110/06/11,38750164,4379542303,111.5,114.5,111.5,113.5,3.0,19549
110/06/15,23669454,2669519218,113.5,114.5,112.0,113.0,-0.5,12539
110/06/16,24015917,2690279796,112.0,113.0,111.5,111.5,-1.5,13461
